filename,distance,dirt
rosbag2_2026_03_13-17_44_34,2.5,0
rosbag2_2026_03_13-17_46_06,2.5,1
rosbag2_2026_03_13-17_46_34,2.5,2
rosbag2_2026_03_13-17_47_19,2.5,3
rosbag2_2026_03_13-17_47_56,2.5,4
rosbag2_2026_03_13-17_48_43,2.5,5
rosbag2_2026_03_13-17_49_44,4.5,0
rosbag2_2026_03_13-17_50_43,4.5,1
rosbag2_2026_03_13-17_51_16,4.5,2
rosbag2_2026_03_13-17_51_53,4.5,3
rosbag2_2026_03_13-17_52_27,4.5,4
rosbag2_2026_03_13-17_52_52,4.5,5
rosbag2_2026_03_13-17_53_50,6.5,0
rosbag2_2026_03_13-17_54_15,6.5,1
rosbag2_2026_03_13-17_55_11,6.5,2
rosbag2_2026_03_13-17_55_35,6.5,3
rosbag2_2026_03_13-17_56_01,6.5,4
rosbag2_2026_03_13-17_56_26,6.5,5
rosbag2_2026_03_13-17_57_52,8.5,0
rosbag2_2026_03_13-17_58_14,8.5,1
rosbag2_2026_03_13-17_58_44,8.5,2
rosbag2_2026_03_13-17_59_04,8.5,3
rosbag2_2026_03_13-17_59_35,8.5,4
rosbag2_2026_03_13-18_00_21,8.5,5
rosbag2_2026_03_13-18_01_50,10.5,0
rosbag2_2026_03_13-18_02_20,10.5,1
rosbag2_2026_03_13-18_02_52,10.5,2
rosbag2_2026_03_13-18_03_41,10.5,3
rosbag2_2026_03_13-18_04_02,10.5,4
rosbag2_2026_03_13-18_04_25,10.5,5
rosbag2_2026_03_13-18_06_13,12.5,0
rosbag2_2026_03_13-18_06_33,12.5,1
rosbag2_2026_03_13-18_06_55,12.5,2
rosbag2_2026_03_13-18_07_15,12.5,3
rosbag2_2026_03_13-18_07_33,12.5,4
rosbag2_2026_03_13-18_08_00,12.5,5
